Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"Q1","BC847","SOT-23",17.450000,-34.250000,0.000000,top
"Q2","BC847","SOT-23",21.700000,-34.250000,0.000000,top
"Q3","BC847","SOT-23",25.950000,-34.250000,0.000000,top
"R1","3.3k","R_0805",16.450000,-29.750000,90.000000,top
"R2","51k","R_0805",18.450000,-30.750000,90.000000,top
"R3","3.3k","R_0805",20.700000,-29.750000,90.000000,top
"R4","33k","R_0805",22.700000,-30.750000,90.000000,top
"R5","3.3k","R_0805",24.950000,-29.750000,90.000000,top
"R6","9.1k","R_0805",26.950000,-30.750000,90.000000,top
"R7","3.3k","R_0805",31.140000,-25.640000,90.000000,top
"R8","10k","R_0805",29.860000,-38.360000,90.000000,top
"R9","820","R_0805",27.000000,-25.270000,0.000000,top
"R10","1k","R_0805",27.000000,-22.730000,0.000000,top
"U1","LTV-217","SOP-4_4.4x2.8mm_Pitch1.27mm",30.500000,-32.000000,270.000000,top
"U2","AQY282SX","SOP-4_3.8x4.1mm_Pitch2.54mm",21.000000,-24.000000,180.000000,top
