Comment,Designator,Footprint,LCSC
"10µF","C1","Capacitors_SMD:C_1206","C13585"
"100nF","C2","Capacitors_SMD:C_0805","C49678"
"33pF","C3","Capacitors_SMD:C_0805","C1814"
"22µF","C4,C5,C6","Capacitors_SMD:C_0805","C45783"
"SS14","D1","Diodes_SMD:D_SMA","C2480"
"220µH","L1","Inductors_SMD:L_Wuerth_WE-PD2-Typ-MS","C91047"
"120k","R1","Resistors_SMD:R_0805","C17436"
"6.8k","R2","Resistors_SMD:R_0805","C17772"
"22k","R3","Resistors_SMD:R_0805","C17560"
"100k","R4","Resistors_SMD:R_0805","C17407"
"10k","R5","Resistors_SMD:R_0805","C17414"
"BL9342","U1","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering","C93176"
