Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","12pF","C_0805",155.500000,-90.500000,180.000000,top
"C2","12pF","C_0805",159.000000,-87.500000,270.000000,top
"C3","6pF","C_0805",158.000000,-98.250000,180.000000,top
"C4","6pF","C_0805",158.000000,-95.750000,180.000000,top
"C5","100nF","C_0805",148.000000,-92.250000,90.000000,top
"C6","2.2µF","C_0805",150.250000,-92.250000,90.000000,top
"C7","100nF","C_0805",160.500000,-70.500000,270.000000,top
"C11","22µF","C_0805",183.500000,-131.500000,0.000000,top
"C12","100nF","C_0805",177.000000,-128.000000,0.000000,top
"C13","33pF","C_0805",172.000000,-131.500000,270.000000,top
"C14","22µF","C_0805",182.000000,-122.000000,270.000000,top
"C15","22µF","C_0805",184.500000,-122.000000,270.000000,top
"C16","22µF","C_0805",187.000000,-122.000000,270.000000,top
"C21","22µF","C_0805",213.500000,-131.500000,0.000000,top
"C22","100nF","C_0805",207.000000,-128.000000,0.000000,top
"C23","33pF","C_0805",202.000000,-131.500000,270.000000,top
"C24","22µF","C_0805",212.000000,-122.000000,270.000000,top
"C25","22µF","C_0805",214.500000,-122.000000,270.000000,top
"C26","22µF","C_0805",217.000000,-122.000000,270.000000,top
"C101","22nF","C_0805",181.770000,-45.000000,90.000000,top
"C102","1nF","C_0805",185.310000,-54.000000,0.000000,top
"C103","1nF","C_0805",186.850000,-45.000000,90.000000,top
"C104","1nF","C_0805",176.690000,-45.000000,90.000000,top
"C201","1nF","C_0805",203.000000,-45.000000,90.000000,top
"C301","470nF","C_0805",182.500000,-74.500000,90.000000,top
"C302","470nF","C_0805",182.500000,-69.500000,90.000000,top
"C303","1µF","C_0805",182.500000,-64.500000,90.000000,top
"D11","SS14","D_SMA",184.500000,-128.000000,0.000000,top
"D21","SS14","D_SMA",214.500000,-128.000000,0.000000,top
"D401","1N4001","D_SOD-123F",205.500000,-74.000000,270.000000,top
"D501","1N4001","D_SOD-123F",220.500000,-69.500000,90.000000,top
"D701","1N4001","D_SOD-123F",124.000000,-131.200000,270.000000,top
"D702","1N4001","D_SOD-123F",126.500000,-131.200000,270.000000,top
"D703","1N4001","D_SOD-123F",129.000000,-131.200000,270.000000,top
"D704","1N4001","D_SOD-123F",131.500000,-131.200000,270.000000,top
"L11","100µH","BCNR6045CF1-101M",177.000000,-123.000000,90.000000,top
"L21","100µH","BCNR6045CF1-101M",207.000000,-123.000000,90.000000,top
"Q101","BC847","SOT-23",176.610000,-40.500000,90.000000,top
"Q201","BC847","SOT-23",203.000000,-40.500000,90.000000,top
"Q301","BC847","SOT-23",187.500000,-64.500000,0.000000,top
"Q401","BC847","SOT-23",200.500000,-69.500000,90.000000,top
"Q701","BC847","SOT-23",134.000000,-125.200000,0.000000,top
"Q702","BC847","SOT-23",136.500000,-131.200000,0.000000,top
"Q703","BC847","SOT-23",139.000000,-125.200000,0.000000,top
"Q704","BC847","SOT-23",141.500000,-131.200000,0.000000,top
"Q705","BC847","SOT-23",144.000000,-125.200000,0.000000,top
"Q721","BC847","SOT-23",146.500000,-131.200000,0.000000,top
"Q731","BC847","SOT-23",151.500000,-131.200000,0.000000,top
"Q741","BC847","SOT-23",154.000000,-125.200000,0.000000,top
"Q751","BC847","SOT-23",156.500000,-131.200000,0.000000,top
"Q811","BC847","SOT-23",79.000000,-78.000000,0.000000,top
"Q821","BC847","SOT-23",81.500000,-73.000000,0.000000,top
"Q831","BC847","SOT-23",84.000000,-78.000000,0.000000,top
"Q841","BC847","SOT-23",86.500000,-73.000000,0.000000,top
"Q851","BC847","SOT-23",89.000000,-78.000000,0.000000,top
"Q861","BC847","SOT-23",91.500000,-73.000000,0.000000,top
"Q871","BC847","SOT-23",94.000000,-78.000000,0.000000,top
"R1","47","R_0603",155.500000,-84.500000,180.000000,top
"R11","120k","R_0805",169.500000,-131.500000,270.000000,top
"R12","39k","R_0805",167.000000,-131.500000,90.000000,top
"R21","120k","R_0805",199.500000,-131.500000,270.000000,top
"R22","24k","R_0805",197.000000,-131.500000,90.000000,top
"R101","100k","R_0805",171.610000,-40.500000,90.000000,top
"R102","1k","R_0805",171.610000,-45.000000,90.000000,top
"R201","100k","R_0805",198.000000,-40.500000,90.000000,top
"R202","1k","R_0805",198.000000,-45.000000,90.000000,top
"R301","2.2k","R_0805",174.500000,-74.500000,90.000000,top
"R302","3.3k","R_0805",174.500000,-69.500000,90.000000,top
"R303","10k","R_0805",178.500000,-74.500000,90.000000,top
"R304","10k","R_0805",178.500000,-69.500000,90.000000,top
"R305","10k","R_0805",178.500000,-64.500000,90.000000,top
"R306","180","R_0805",186.500000,-69.500000,90.000000,top
"R401","3.3k","R_0805",195.500000,-74.000000,90.000000,top
"R402","1k","R_0805",195.500000,-69.500000,90.000000,top
"R403","10k","R_0805",205.500000,-69.500000,90.000000,top
"R501","1k","R_0805",220.500000,-64.500000,270.000000,top
"R601","1k","R_0805",80.280000,-120.000000,270.000000,top
"R602","1k","R_0805",82.810000,-120.000000,270.000000,top
"R603","1k","R_0805",85.360000,-120.000000,270.000000,top
"R604","1k","R_0805",87.900000,-120.000000,270.000000,top
"R605","1k","R_0805",91.980000,-120.000000,270.000000,top
"R606","1k","R_0805",94.510000,-120.000000,270.000000,top
"R607","1k","R_0805",97.060000,-120.000000,270.000000,top
"R608","1k","R_0805",99.600000,-120.000000,270.000000,top
"R609","1k","R_0805",103.680000,-120.000000,270.000000,top
"R610","1k","R_0805",106.210000,-120.000000,270.000000,top
"R611","1k","R_0805",108.760000,-120.000000,270.000000,top
"R612","1k","R_0805",111.300000,-120.000000,270.000000,top
"R613","1k","R_0805",115.400000,-120.000000,270.000000,top
"R614","820","R_0805",117.900000,-120.000000,90.000000,top
"R621","33k","R_0805",79.000000,-138.000000,90.000000,top
"R622","33k","R_0805",81.500000,-138.000000,90.000000,top
"R623","33k","R_0805",84.000000,-138.000000,90.000000,top
"R624","33k","R_0805",86.500000,-138.000000,90.000000,top
"R625","33k","R_0805",89.000000,-138.000000,90.000000,top
"R626","33k","R_0805",91.500000,-138.000000,90.000000,top
"R627","33k","R_0805",94.000000,-138.000000,90.000000,top
"R628","33k","R_0805",99.000000,-138.000000,90.000000,top
"R629","33k","R_0805",101.500000,-138.000000,90.000000,top
"R630","33k","R_0805",104.000000,-138.000000,90.000000,top
"R631","33k","R_0805",106.500000,-138.000000,90.000000,top
"R632","33k","R_0805",109.000000,-138.000000,90.000000,top
"R633","33k","R_0805",111.500000,-138.000000,90.000000,top
"R701","100k","R_0805",124.000000,-138.000000,90.000000,top
"R702","39k","R_0805",124.000000,-120.000000,90.000000,top
"R703","100k","R_0805",126.500000,-138.000000,90.000000,top
"R704","39k","R_0805",126.500000,-120.000000,90.000000,top
"R705","100k","R_0805",129.000000,-138.000000,90.000000,top
"R706","39k","R_0805",129.000000,-120.000000,90.000000,top
"R707","100k","R_0805",131.500000,-138.000000,90.000000,top
"R708","39k","R_0805",131.500000,-120.000000,90.000000,top
"R709","3.3k","R_0805",134.000000,-120.000000,90.000000,top
"R710","10k","R_0805",134.000000,-138.000000,90.000000,top
"R711","3.3k","R_0805",136.500000,-120.000000,90.000000,top
"R712","10k","R_0805",136.500000,-138.000000,90.000000,top
"R713","3.3k","R_0805",139.000000,-120.000000,90.000000,top
"R714","10k","R_0805",139.000000,-138.000000,90.000000,top
"R715","3.3k","R_0805",141.500000,-120.000000,90.000000,top
"R716","10k","R_0805",141.500000,-138.000000,90.000000,top
"R717","3.3k","R_0805",144.000000,-120.000000,90.000000,top
"R718","10k","R_0805",144.000000,-138.000000,90.000000,top
"R721","3.3k","R_0805",146.500000,-138.000000,270.000000,top
"R722","100k","R_0805",149.000000,-138.000000,90.000000,top
"R731","3.3k","R_0805",151.500000,-138.000000,270.000000,top
"R732","100k","R_0805",154.000000,-138.000000,90.000000,top
"R741","3.3k","R_0805",154.000000,-120.000000,90.000000,top
"R751","180k","R_0805",159.000000,-138.000000,90.000000,top
"R752","10k","R_0805",156.500000,-138.000000,90.000000,top
"R753","470k","R_0805",156.500000,-120.000000,90.000000,top
"R761","1k","R_1206",150.450000,-155.000000,0.000000,top
"R811","3.3k","R_0805",79.000000,-68.000000,90.000000,top
