Comment,Designator,Footprint,LCSC
"12pF","C1,C2","Capacitors_SMD:C_0805","C1804"
"22nF","C101","Capacitors_SMD:C_0805","C1729"
"1nF","C102,C103,C104,C201","Capacitors_SMD:C_0805","C46653"
"33pF","C13,C23","Capacitors_SMD:C_0805","C1814"
"22µF","C11,C14,C15,C16,C21,C24,C25,C26","Capacitors_SMD:C_0805","C45783"
"6pF","C3,C4","Capacitors_SMD:C_0805","C67560"
"470nF","C301,C302","Capacitors_SMD:C_0805","C13967"
"1µF","C303","Capacitors_SMD:C_0805","C28323"
"100nF","C5,C7,C12,C22","Capacitors_SMD:C_0805","C49678"
"2.2µF","C6","Capacitors_SMD:C_0805","C49217"
"SS14","D11,D21","Diodes_SMD:D_SMA","C2480"
"1N4001","D401,D501,D701,D702,D703,D704","Diodes_SMD:D_SOD-123F","C64898"
"100µH","L11,L21","dual_cr1750_stm32:BCNR6045CF1-101M","C238004"
"BC847","Q101,Q201,Q301,Q401,Q701,Q702,Q703,Q704,Q705,Q721,Q731,Q741,Q751,Q811,Q821,Q831,Q841,Q851,Q861,Q871","TO_SOT_Packages_SMD:SOT-23","C2145"
"47","R1","Resistors_SMD:R_0603","C23182"
"100k","R101,R201,R701,R703,R705,R707,R722,R732","Resistors_SMD:R_0805","C17407"
"120k","R11,R21","Resistors_SMD:R_0805","C17436"
"24k","R22","Resistors_SMD:R_0805","C17575"
"2.2k","R301","Resistors_SMD:R_0805","C17520"
"180","R306","Resistors_SMD:R_0805","C25270"
"3.3k","R302,R401,R709,R711,R713,R715,R717,R721,R731,R741,R811,R821,R831,R841,R851,R861,R871","Resistors_SMD:R_0805","C26010"
"1k","R102,R202,R402,R501,R601,R602,R603,R604,R605,R606,R607,R608,R609,R610,R611,R612,R613","Resistors_SMD:R_0805","C17513"
"820","R614","Resistors_SMD:R_0805","C17837"
"33k","R621,R622,R623,R624,R625,R626,R627,R628,R629,R630,R631,R632,R633","Resistors_SMD:R_0805","C17633"
"39k","R12,R702,R704,R706,R708","Resistors_SMD:R_0805","C25826"
"10k","R303,R304,R305,R403,R710,R712,R714,R716,R718,R752,R812,R822,R832,R842,R852,R862,R872","Resistors_SMD:R_0805","C17414"
"180k","R751","Resistors_SMD:R_0805","C17501"
"470k","R753","Resistors_SMD:R_0805","C17709"
"1k","R761","Resistors_SMD:R_1206","C4410"
"STM32G070RBTx","U1","Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm","C529340"
"BL9342","U11,U21","TO_SOT_Packages_SMD:TSOT-23-6","C93176"
"LTV-247","U601,U602,U603","Housings_SSOP:SOP-16_4.4x10.4mm_Pitch1.27mm","C115451"
"LTV-217","U604","Housings_SSOP:SOP-4_4.4x2.8mm_Pitch1.27mm","C691224"
"AQY282SX","U605","Housings_SSOP:SOP-4_3.8x4.1mm_Pitch2.54mm","C250827"
"16MHz","Y1","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","C13738"
"32.768kHz","Y2","Crystals:Crystal_SMD_3215-2pin_3.2x1.5mm","C48615"
